query_type,RR@20,average_rank,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,experiment,method
Case-beskrivning,0.49807692307692303,4.222222222222222,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
Titel på rätt dokument,1.0,1.0,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
Titel utan stor bokstav,1.0,1.0,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
2 nyckelord,0.2333333333333333,4.333333333333333,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
2 nyckelord med stavfel,0.14930555555555555,4.0,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
2 nyckelord med synonymer,0.29146316646316645,5.428571428571429,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
Längre sökterm,0.5244047619047619,3.1818181818181817,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
Case-beskrivning,0.3888888888888889,2.142857142857143,2026-03-26T09:55:19+01:00,20,80,7,google_sheet,google_sheet,dense_e5_latest,dense_e5
Titel på rätt dokument,1.0,1.0,2026-03-26T09:55:19+01:00,20,80,7,google_sheet,google_sheet,dense_e5_latest,dense_e5
Titel utan stor bokstav,1.0,1.0,2026-03-26T09:55:19+01:00,20,80,7,google_sheet,google_sheet,dense_e5_latest,dense_e5
2 nyckelord,0.220497557997558,5.333333333333333,2026-03-26T09:55:19+01:00,20,80,7,google_sheet,google_sheet,dense_e5_latest,dense_e5
2 nyckelord med stavfel,0.06597222222222222,5.333333333333333,2026-03-26T09:55:19+01:00,20,80,7,google_sheet,google_sheet,dense_e5_latest,dense_e5
2 nyckelord med synonymer,0.34027777777777773,3.7142857142857144,2026-03-26T09:55:19+01:00,20,80,7,google_sheet,google_sheet,dense_e5_latest,dense_e5
Längre sökterm,0.5499999999999999,2.3333333333333335,2026-03-26T09:55:19+01:00,20,80,7,google_sheet,google_sheet,dense_e5_latest,dense_e5
Case-beskrivning,0.2702991452991453,4.142857142857143,2026-03-26T10:00:45+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_latest,hybrid_e5
Titel på rätt dokument,1.0,1.0,2026-03-26T10:00:45+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_latest,hybrid_e5
Titel utan stor bokstav,1.0,1.0,2026-03-26T10:00:45+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_latest,hybrid_e5
2 nyckelord,0.47222222222222215,2.2222222222222223,2026-03-26T10:00:45+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_latest,hybrid_e5
2 nyckelord med stavfel,0.11601307189542483,6.166666666666667,2026-03-26T10:00:45+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_latest,hybrid_e5
2 nyckelord med synonymer,0.4375,2.375,2026-03-26T10:00:45+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_latest,hybrid_e5
Längre sökterm,0.6800213675213675,2.6363636363636362,2026-03-26T10:00:45+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_latest,hybrid_e5
Case-beskrivning,0.027777777777777776,3.0,2026-03-26T10:08:56+01:00,20,80,7,google_sheet,google_sheet,bm25_latest,bm25
Titel på rätt dokument,1.0,1.0,2026-03-26T10:08:56+01:00,20,80,7,google_sheet,google_sheet,bm25_latest,bm25
Titel utan stor bokstav,1.0,1.0,2026-03-26T10:08:56+01:00,20,80,7,google_sheet,google_sheet,bm25_latest,bm25
2 nyckelord,0.4017857142857142,3.7777777777777777,2026-03-26T10:08:56+01:00,20,80,7,google_sheet,google_sheet,bm25_latest,bm25
2 nyckelord med stavfel,0.10019841269841269,6.2,2026-03-26T10:08:56+01:00,20,80,7,google_sheet,google_sheet,bm25_latest,bm25
2 nyckelord med synonymer,0.17245370370370372,4.6,2026-03-26T10:08:56+01:00,20,80,7,google_sheet,google_sheet,bm25_latest,bm25
Längre sökterm,0.5069444444444444,1.75,2026-03-26T10:08:56+01:00,20,80,7,google_sheet,google_sheet,bm25_latest,bm25
Case-beskrivning,0.2702991452991453,4.142857142857143,2026-03-26T14:01:44+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_smaller_metadata,hybrid_e5
Titel på rätt dokument,1.0,1.0,2026-03-26T14:01:44+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_smaller_metadata,hybrid_e5
Titel utan stor bokstav,1.0,1.0,2026-03-26T14:01:44+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_smaller_metadata,hybrid_e5
2 nyckelord,0.47222222222222215,2.2222222222222223,2026-03-26T14:01:44+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_smaller_metadata,hybrid_e5
2 nyckelord med stavfel,0.11601307189542483,6.166666666666667,2026-03-26T14:01:44+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_smaller_metadata,hybrid_e5
2 nyckelord med synonymer,0.4375,2.375,2026-03-26T14:01:44+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_smaller_metadata,hybrid_e5
Längre sökterm,0.6800213675213675,2.6363636363636362,2026-03-26T14:01:44+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_smaller_metadata,hybrid_e5
