doc_id,query_id,score,query_type,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,experiment,method
hud-mot-hudvård på intensivvårdsavdelningen för nyfödda,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9051663875579834,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
barn på civa,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9006295204162598,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
nhv - tarmrehabilitering för barn - processkarta,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8950911164283752,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
amningssamtal med föräldrar till barn inom barnhälsovården,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8937825560569763,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
"hypotermibehandling, barn - vårdprogram",Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8915615081787109,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
"kuratorskontakt gällande barn som anhöriga i vården, rutin as",Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8900530934333801,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
neonatal perioperativ vård,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8895901441574097,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
"amningsförberedande samtal under graviditet och postpartum, barnmorskemottagning",Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8878514766693115,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
vårdideologi neo 95f,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8871996402740479,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
"patientinformation inför benförlängning, barnortopedi",Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8868768811225891,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
föräldramedverkan på neo 95f,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8848845362663269,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
anhörigs övernattning på bb,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8846440315246582,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
bokning av lägenheter tillhörande barncancerfonden mellansverige och patienthotell,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8846045136451721,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
grundläggande omhändertagande av nyfött barn,Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.9216909408569336,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
kontroller av inneliggande patienter på bb och förlossningsavdelningen,Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.9130285382270813,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
vattenfödsel och bad som smärtlindring,Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.9121941924095154,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
underburenhet 22-25 veckor - vårdplan,Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.9067662954330444,Case-beskrivning,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
