average_rank,average_score,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,experiment,method
3.3094207379921667,0.5280833914762486,2026-03-25T08:44:14+01:00,20,80,7,google_sheet,google_sheet,dense_e5_restart,dense_e5
2.9795918367346936,0.5093766352694924,2026-03-26T09:55:19+01:00,20,80,7,google_sheet,google_sheet,dense_e5_latest,dense_e5
2.7918728097299526,0.5680079724197371,2026-03-26T10:00:45+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_latest,hybrid_e5
3.0468253968253967,0.45845143613000755,2026-03-26T10:08:56+01:00,20,80,7,google_sheet,google_sheet,bm25_latest,bm25
2.7918728097299526,0.5680079724197371,2026-03-26T14:01:44+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_smaller_metadata,hybrid_e5
average_rank,average_score,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,method
2.765873015873016,0.454398148148148,2026-04-14T10:04:37+01:00,20,80,7,google_sheet,google_sheet,sqlite_fts
2.742398474541332,0.5591710421542354,2026-05-11T09:38:47+01:00,20,80,7,google_sheet,google_sheet,hybrid_e5_11/5,hybrid_e5
average_rank,average_score,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,qrels_path,experiment,method
2.909090909090909,0.7251748251748252,2026-05-11T10:14:41+01:00,20,11,1,form_submissions,form_submissions,/home/isak/Repos/ActSearchDemo/evaluation/qrels_from_form_submissions_clean.csv,form_submissions_clean_hybrid_e5,hybrid_e5
average_rank,average_score,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,qrels_path,experiment,method
1.25,0.6666666666666666,2026-05-11T10:16:30+01:00,20,11,1,form_submissions,form_submissions,/home/isak/Repos/ActSearchDemo/evaluation/qrels_from_form_submissions_clean.csv,form_submissions_clean_bm25,bm25
average_rank,average_score,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,qrels_path,experiment,method
3.111111111111111,0.44949494949494945,2026-05-11T10:17:55+01:00,20,11,1,form_submissions,form_submissions,/home/isak/Repos/ActSearchDemo/evaluation/qrels_from_form_submissions_clean.csv,form_submissions_clean_hybrid,hybrid
average_rank,average_score,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,qrels_path,experiment,method
2.4285714285714284,0.45075757575757575,2026-05-11T10:19:31+01:00,20,11,1,form_submissions,form_submissions,/home/isak/Repos/ActSearchDemo/evaluation/qrels_from_form_submissions_clean.csv,form_submissions_clean_dockplus_live,docplus_live
average_rank,average_score,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,qrels_path,experiment,method
2.909090909090909,0.7251748251748252,2026-05-11T14:04:35+01:00,20,11,1,form_submissions,form_submissions,/home/isak/Repos/ActSearchDemo/evaluation/qrels_from_form_submissions_clean.csv,form_submissions_clean_hybrid_e5,hybrid_e5
average_rank,average_score,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,qrels_path,experiment,method
0.0,0.0,2026-05-11T14:05:47+01:00,20,11,1,form_submissions,form_submissions,/home/isak/Repos/ActSearchDemo/evaluation/qrels_from_form_submissions_clean.csv,form_submissions_clean_sqllite,sts_live
average_rank,average_score,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,qrels_path,experiment,method
5.0,0.24494949494949492,2026-05-11T14:07:31+01:00,20,11,1,form_submissions,form_submissions,/home/isak/Repos/ActSearchDemo/evaluation/qrels_from_form_submissions_clean.csv,form_submissions_clean_dense,dense
average_rank,average_score,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,qrels_path,experiment,method
3.3,0.6970756516211062,2026-05-11T14:07:53+01:00,20,11,1,form_submissions,form_submissions,/home/isak/Repos/ActSearchDemo/evaluation/qrels_from_form_submissions_clean.csv,form_submissions_clean_dense_e5,dense_e5
average_rank,average_score,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,qrels_path,experiment,method
1.5555555555555556,0.6212121212121212,2026-05-11T14:10:02+01:00,20,11,1,form_submissions,form_submissions,/home/isak/Repos/ActSearchDemo/evaluation/qrels_from_form_submissions_clean.csv,form_submissions_clean_dense_sqlite_fts,sqlite_fts
