query_type,RR@20,average_rank,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,method,model_name,experiment,config_slug,text_source,chunk_size,chunk_overlap,include_title_chunk,index_dir
Case-beskrivning,0.40277777777777773,2.25,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
Titel på rätt dokument,0.8333333333333333,1.4,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
Titel utan stor bokstav,0.8333333333333333,1.4,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
2 nyckelord,0.40277777777777785,2.142857142857143,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
2 nyckelord med stavfel,0.19593253968253968,4.166666666666667,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
2 nyckelord med synonymer,0.20833333333333334,1.3333333333333333,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
Längre sökterm,0.6342592592592592,2.0,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
Case-beskrivning,0.40277777777777773,2.25,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
Titel på rätt dokument,1.0,1.0,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
Titel utan stor bokstav,1.0,1.0,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
