Titel utan stor bokstav,Case-beskrivning,2 nyckelord,Längre sökterm,Titel på rätt dokument,2 nyckelord med synonymer,2 nyckelord med stavfel,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
"råd om sovrutiner på 95F, förlossning,  BB",Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,samsovning råd,samsovning risker råd nyfödd,"Råd om sovrutiner på 95F, förlossning,  BB",co-sleeping råd,samsovnng råd,,,,,,,,,,,,,,,,,,,,,,
grundläggande omhändertagande av nyfött barn,Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,hypotermi nyfödd,hypotermi nyfödd åtgärder temperatur låg,Grundläggande omhändertagande av nyfött barn,nedkylning nyfödd,hypotremi nyfödd,,,,,,,,,,,,,,,,,,,,,,
kriterier för hemgång inom 6-24h efter förlossning,Familj går hem efter 12h. Vilket är ditt ansvar?,tidig hemgång ansvar,tidig hemgång nyfödd kontroller ansvar,Kriterier för hemgång inom 6-24h efter förlossning,tidig hemgång uppgifter,tidig hemgng ansvar,,,,,,,,,,,,,,,,,,,,,,
amning-riktlinje för Akademiska Sjukhuset,Barnet har ej sugit 3h efter förlossning. Var hittar du information om vilka åtgärder du ska vidta?,amning sugsvag,nyfödd suger ej åtgärder amning,Amning-riktlinje för Akademiska Sjukhuset,bröstmatning sugsvag,amning sugsag,,,,,,,,,,,,,,,,,,,,,,
arbetsrutiner undersköterska obstetrik förlossningen,Du ska assistera vid sugklocka. Var hittar du information om dina arbetsuppgifter?,sugklocka assistans,sugklocka arbetsuppgifter barnmorska assistans,Arbetsrutiner undersköterska obstetrik förlossningen,vakuumextraktion assistans,sugkloka asistans,,,,,,,,,,,,,,,,,,,,,,
"vattenavgång utan värkar, före och efter graviditetsvecka 37",Patient beskriver klar vattenavgång. Var hittar du informationen om hur du ska handlägga detta?,vattenavgång handläggning,klar vattenavgång handläggning telefon råd,"Vattenavgång utan värkar, före och efter graviditetsvecka 37",fosterhinnor ruptur handläggning,vattenavgng handläggning,,,,,,,,,,,,,,,,,,,,,,
placentaretention,Placenta suttit i 35 minuter. Var hittar du information om vilket som är ditt ansvar som barnmorska/obstetriker?,retinerad placenta,retinerad placenta åtgärder tidsgräns ansvar,Placentaretention,kvarhållen placenta,retinerad placnta,,,,,,,,,,,,,,,,,,,,,,
vårdprogram för förlossningsbristningar,Förlossningsbristningen är inte suturerad och det har gått 7h efter förlossningen. Var hittar du informationen om vad du behöver tänka på?,bristning sutur,förlossningsbristning ej suturerad åtgärder,Vårdprogram för förlossningsbristningar,perineal skada sutur,bristnng sutur,,,,,,,,,,,,,,,,,,,,,,
amnioinfusion under förlossningen,Var hittar du informationen om vilka kontroller du behöver göra innan du startar en amnioinfusion?,amnioinfusion kontroller,amnioinfusion kontroller innan start CTG,Amnioinfusion under förlossningen,fostervatteninfusion kontroller,amninfusion kontroller,,,,,,,,,,,,,,,,,,,,,,
grundläggande omhändertagande av nyfött barn,8h gammalt barn har 150 i transkutant bilirubinvärde. Var hittar du informationen om vilka åtgärder du behöver vidta?,bilirubin nyfödd,transkutant bilirubin åtgärder nyfödd,Grundläggande omhändertagande av nyfött barn,gulsot nyfödd,bilirbin nyfödd,,,,,,,,,,,,,,,,,,,,,,
amnioinfusion under förlossningen,Du har ett CTG med komplicerade variabla decelerationer och inget synligt vatten vid ultraljudsundersökning. Var hittar du informationen om aktiv åtgärd som du kan vidta?,variabla decelerationer,CTG variabla decelerationer åtgärder amnioinfusion,Amnioinfusion under förlossningen,variabla dippar,deceleratoner variabla,,,,,,,,,,,,,,,,,,,,,,
timeout vid utebliven progress eller förlängt utdrivningsskede,Patienten har varit retraherad i tre timmar. Var hittar du informationen om vad du behöver bedöma?,retraktion uterus,retraktion uterus bedömning postpartum,Timeout vid utebliven progress eller förlängt utdrivningsskede,uterus kontraktion,retraktion uteres,,,,,,,,,,,,,,,,,,,,,,
